證券代碼,簡稱,年月,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼
1423,利華,202103  ,M1400,M1400,14D,14D2
1432,大魯閣,202103  ,M2900,M2900,29A,29A1
1434,福懋,202103  ,M1400,M1400,14C,14C2
1435,中福,202103  ,M9900,M9900,23E,23E1
1436,華友聯,202103  ,M2500,M2500,25A,25A
1437,勤益控,202103  ,M9900,M9900,25F,25F
1438,三地開發,202103  ,M2500,M2500,25A,25A
1439,中和,202103  ,M1400,M1400,14D,14D2
1440,南紡,202103  ,M1400,M1400,14A,14A1
1441,大東,202103  ,M1400,M1400,14B,14B1
1442,名軒,202103  ,M2500,M2500,25A,25A
1443,立益,202103  ,M1400,M1400,14B,14B1
1444,力麗,202103  ,M1400,M1400,14A,14A2
1445,大宇,202103  ,M1400,M1400,14C,14C2
1446,宏和,202103  ,M1400,M1400,14C,14C2
1447,力鵬,202103  ,M1400,M1400,14A,14A7
1449,佳和,202103  ,M1400,M1400,14C,14C2
1451,年興,202103  ,M1400,M1400,14C,14C1
1452,宏益,202103  ,M1400,M1400,14A,14A2
1453,大將,202103  ,M1400,M1400,25A,25A
1454,台富,202103  ,M1400,M1400,14C,14C2
1455,集盛,202103  ,M1400,M1400,14A,14A7
1456,怡華,202103  ,M1400,M1400,14C,14C2
1457,宜進,202103  ,M1400,M1400,14A,14A2
1459,聯發,202103  ,M1400,M1400,14A,14A2
1460,宏遠,202103  ,M1400,M1400,14C,14C2
1463,強盛,202103  ,M1400,M1400,14E,14E
1464,得力,202103  ,M1400,M1400,14C,14C2
1465,偉全,202103  ,M1400,M1400,14C,14C2
1466,聚隆,202103  ,M1400,M1400,14A,14A7
1467,南緯,202103  ,M1400,M1400,14C,14C1
1468,昶和,202103  ,M1400,M1400,14C,14C2
1470,大統新創,202103  ,M1400,M1400,14E,14E
1471,首利,202103  ,M2300,M2328,23D,23D3
1472,三洋紡,202103  ,M1400,M1400,14A,14A7
1473,台南,202103  ,M1400,M1400,14C,14C1
1474,弘裕,202103  ,M1400,M1400,14C,14C2
1475,業旺,202103  ,M1400,M1400,14C,14C2
1476,儒鴻,202103  ,M1400,M1400,14C,14C1
1477,聚陽,202103  ,M1400,M1400,14C,14C1
1503,士電,202103  ,M1500,M1500,15B,15B1
1504,東元,202103  ,M1500,M1500,15B,15B1
1506,正道,202103  ,M1500,M1500,15D,15D
1507,永大,202103  ,M1500,M1500,15B,15B1
1512,瑞利,202103  ,M2200,M2200,15D,15D
1513,中興電,202103  ,M1500,M1500,15B,15B1
1514,亞力,202103  ,M1500,M1500,15B,15B1
1515,力山,202103  ,M1500,M1500,15A,15A1
1516,川飛,202103  ,M9900,M9900,99Z,99ZC
1517,利奇,202103  ,M1500,M1500,15E,15E
1519,華城,202103  ,M1500,M1500,15B,15B1
1521,大億,202103  ,M2200,M2200,15D,15D
1522,堤維西,202103  ,M2200,M2200,15D,15D
1524,耿鼎,202103  ,M2200,M2200,15D,15D
1525,江申,202103  ,M2200,M2200,15D,15D
1526,日馳,202103  ,M1500,M1500,15E,15E
1527,鑽全,202103  ,M1500,M1500,15A,15A1
1528,恩德,202103  ,M1500,M1500,15A,15A1
1529,樂士,202103  ,M1500,M1500,15B,15B1
1530,亞崴,202103  ,N.A.,N.A.,N.A.,N.A.
1531,高林股,202103  ,M1500,M1500,15A,15A3
1532,勤美,202103  ,M1500,M1500,15A,15A2
1533,車王電,202103  ,M2200,M2200,15D,15D
1535,中宇,202103  ,M1500,M1500,15B,15B2
1536,和大,202103  ,M2200,M2200,15D,15D
1537,廣隆,202103  ,M1500,M1500,23D,23D7
1538,正峰,202103  ,M1500,M1500,15A,15A1
1539,巨庭,202103  ,M1500,M1500,15A,15A1
1540,喬福,202103  ,M1500,M1500,15A,15A1
1541,錩泰,202103  ,M1500,M1500,15A,15A1
1558,伸興,202103  ,M1500,M1500,15A,15A3
1560,中砂,202103  ,M1500,M1500,15A,15A2
1568,倉佑,202103  ,M2200,M2200,15D,15D
1582,信錦,202103  ,M2300,M2328,23D,23D9A
1583,程泰,202103  ,M1500,M1500,15A,15A1
1587,吉茂,202103  ,M2200,M2200,15D,15D
1589,永冠-KY,202103  ,M1500,M1500,15A,15A2
1590,亞德客-KY,202103  ,M1500,M1500,15A,15A2
1592,英瑞-KY,202103  ,M2200,M2200,15D,15D
1597,直得,202103  ,M1500,M1500,15A,15A2
1598,岱宇,202103  ,M1700,M1722,17G,17G
1603,華電,202103  ,M1600,M1600,16,16
1604,聲寶,202103  ,M1600,M1600,15C,15C1
1605,華新,202103  ,M1600,M1600,16,16
1608,華榮,202103  ,M1600,M1600,16,16
1609,大亞,202103  ,M1600,M1600,16,16
1611,中電,202103  ,M1600,M1600,15C,15C4
1612,宏泰,202103  ,M1600,M1600,16,16
1614,三洋電,202103  ,M1600,M1600,15C,15C1
1615,大山,202103  ,M1600,M1600,16,16
1616,億泰,202103  ,M1600,M1600,16,16
1617,榮星,202103  ,M1600,M1600,16,16
